values(1);values(2);values(3);values(4);
-0.40000001;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.4;0.2;31;
-0.5;1.41;0.1;31.1;
-0.40000001;1.4;0.2;31.1;
-0.40000001;1.4;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.4;0.2;31.200001;
-0.40000001;1.4;0.2;31.1;
-0.40000001;1.4;0.2;31.1;
-0.40000001;1.4;0.2;31.1;
-0.40000001;1.4;0.1;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.4;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.4;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.4299999;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.39;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.200001;
-0.5;1.4299999;0.2;31.200001;
-0.5;1.4299999;0.1;31.1;
-0.5;1.42;0.1;31.1;
-0.5;1.42;0.1;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.42;0.1;31.1;
-0.5;1.42;0.1;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.40000001;1.42;0.1;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.40000001;1.42;0.1;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.200001;
-0.5;1.41;0.2;31.200001;
-0.5;1.42;0.2;31.200001;
-0.40000001;1.42;0.2;31.200001;
-0.40000001;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.1;31.1;
-0.5;1.42;0.1;31.200001;
-0.5;1.42;0.1;31.200001;
-0.5;1.4299999;0.1;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.200001;
-0.5;1.42;0.2;31.200001;
-0.5;1.42;0.2;31.200001;
-0.5;1.4299999;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.40000001;1.4;0.2;31.200001;
-0.40000001;1.4;0.2;31.200001;
-0.5;1.4;0.2;31.1;
-0.5;1.41;0.2;31.200001;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.200001;
-0.5;1.41;0.2;31.200001;
-0.5;1.4;0.2;31.200001;
-0.5;1.41;0.1;31.200001;
-0.5;1.41;0.1;31.200001;
-0.5;1.41;0.2;31.1;
-0.5;1.42;0.1;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.42;0.1;31.200001;
-0.5;1.4;0.2;31.200001;
-0.5;1.4;0.2;31.200001;
-0.5;1.41;0.2;31.1;
-0.5;1.4;0.2;31.200001;
-0.5;1.41;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.4;0.1;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.1;31.200001;
-0.5;1.41;0.2;31.200001;
-0.5;1.42;0.2;31.1;
-0.5;1.41;0.2;31.200001;
-0.5;1.42;0.2;31.200001;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.4;0.1;31.1;
-0.40000001;1.4;0.1;31.1;
-0.40000001;1.42;0.1;31;
-0.40000001;1.42;0.1;31.1;
-0.40000001;1.4299999;0.1;31.1;
-0.40000001;1.42;0.2;31;
-0.40000001;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31;
-0.5;1.4299999;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4400001;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4400001;0.2;31.1;
-0.5;1.4400001;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.40000001;1.4299999;0.2;31;
-0.40000001;1.4299999;0.2;31;
-0.5;1.4299999;0.2;31;
-0.40000001;1.4299999;0.2;31;
-0.40000001;1.4400001;0.2;31;
-0.40000001;1.42;0.2;31;
-0.40000001;1.42;0.2;31;
-0.5;1.42;0.2;31;
-0.40000001;1.42;0.30000001;31.1;
-0.40000001;1.42;0.2;31;
-0.40000001;1.4400001;0.30000001;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.42;0.30000001;31.1;
-0.40000001;1.41;0.30000001;31.1;
-0.5;1.42;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.40000001;1.4299999;0.2;31.1;
-0.40000001;1.4400001;0.30000001;31.1;
-0.40000001;1.4299999;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.40000001;1.4299999;0.2;31.1;
-0.40000001;1.4299999;0.2;31.1;
-0.40000001;1.4400001;0.1;31.1;
-0.40000001;1.4299999;0.2;31.1;
-0.40000001;1.4299999;0.2;31.1;
-0.40000001;1.4299999;0.2;31.1;
-0.40000001;1.4299999;0.2;31.1;
-0.5;1.4299999;0.1;31.1;
-0.40000001;1.42;0.1;31.1;
-0.5;1.42;0.1;31.1;
-0.5;1.42;0.1;31.1;
-0.5;1.42;0.1;31.1;
-0.40000001;1.4299999;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.4299999;0.2;31.1;
-0.40000001;1.4299999;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.5;1.41;0.1;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.1;31.1;
-0.40000001;1.41;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.40000001;1.4400001;0.2;31.1;
-0.40000001;1.4400001;0.2;31.1;
-0.5;1.4299999;0.1;31;
-0.5;1.4299999;0.1;31;
-0.5;1.42;0.2;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.40000001;1.42;0.2;31;
-0.5;1.42;0.1;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.40000001;1.4299999;0.2;31.1;
-0.40000001;1.4299999;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.5;1.4299999;0.1;31.1;
-0.5;1.4299999;0.1;31.1;
-0.40000001;1.41;0.1;31.1;
-0.40000001;1.41;0.1;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.42;0.1;31.1;
-0.5;1.42;0.1;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.4;0.2;31.1;
-0.5;1.4;0.2;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.41;0.1;31.1;
-0.40000001;1.41;0.1;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31;
-0.5;1.4299999;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.4299999;0.1;31.1;
-0.5;1.4299999;0.1;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.41;0.2;31;
-0.5;1.41;0.2;31;
-0.5;1.4;0.1;31.1;
-0.5;1.4;0.1;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.42;0.1;31.1;
-0.5;1.4299999;0.2;31;
-0.5;1.4299999;0.2;31;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.41;0.1;31.1;
-0.40000001;1.4299999;0.2;31.1;
-0.40000001;1.4299999;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.40000001;1.42;0.2;31;
-0.40000001;1.41;0.2;31;
-0.5;1.41;0.1;31.1;
-0.40000001;1.41;0.2;31;
-0.40000001;1.41;0.2;31;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.40000001;1.42;0.2;31;
-0.40000001;1.4299999;0.2;31.1;
-0.40000001;1.4299999;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.1;31.1;
-0.5;1.42;0.1;31.1;
-0.5;1.42;0.2;31.1;
-0.40000001;1.42;0.1;31.1;
-0.40000001;1.42;0.1;31.1;
-0.40000001;1.42;0.1;31.1;
-0.40000001;1.42;0.1;31.1;
-0.5;1.4299999;0.1;31.1;
-0.5;1.4299999;0.1;31.1;
-0.5;1.42;0.1;31.1;
-0.5;1.42;0.1;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.42;0.1;31.1;
-0.5;1.42;0.1;31.1;
-0.5;1.4299999;0.1;31.200001;
-0.5;1.4299999;0.1;31.200001;
-0.40000001;1.42;0.1;31.200001;
-0.5;1.42;0.1;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.42;0.2;31.200001;
-0.5;1.42;0.2;31.200001;
-0.5;1.41;0.1;31.200001;
-0.5;1.41;0.1;31.200001;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.200001;
-0.5;1.42;0.2;31.200001;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.41;0.2;31.200001;
-0.5;1.41;0.2;31.200001;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.200001;
-0.5;1.42;0.2;31.200001;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4299999;0.2;31.1;
-0.5;1.4400001;0.2;31.1;
-0.5;1.4400001;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.42;0.1;31.1;
-0.5;1.42;0.1;31;
-0.5;1.42;0.1;31;
-0.5;1.4;0.2;31;
-0.5;1.4;0.2;31;
-0.40000001;1.42;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.5;1.41;0.2;31;
-0.5;1.41;0.2;31;
-0.5;1.4;0.1;31;
-0.5;1.4;0.1;31;
-0.5;1.41;0.1;31;
-0.5;1.41;0.1;31;
-0.5;1.41;0.2;31;
-0.5;1.41;0.2;31;
-0.40000001;1.4;0.2;31.1;
-0.40000001;1.4;0.2;31.1;
-0.40000001;1.4;0.1;31.1;
-0.40000001;1.4;0.1;31.1;
-0.40000001;1.42;0.2;31.1;
-0.40000001;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.42;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.4;0.1;31.1;
-0.5;1.4;0.1;31.1;
-0.5;1.4;0.1;31.1;
-0.5;1.4;0.1;31.1;
-0.5;1.41;0.1;31.1;
-0.5;1.41;0.1;31.1;
-0.40000001;1.41;0.1;31.1;
-0.40000001;1.41;0.1;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31.1;
-0.5;1.41;0.2;31;
-0.5;1.41;0.2;31;
-0.5;1.42;0.1;31.1;
-0.5;1.42;0.1;31.1;
-0.40000001;1.41;0.2;31.1;
-0.40000001;1.41;0.2;31.1;
-0.5;1.4;0.2;31;
-0.5;1.4;0.2;31;
-0.40000001;1.47;0.1;31;
-0.40000001;1.47;0.1;31;
-0.5;1.48;0.2;31.1;
-0.5;1.48;0.2;31.1;
-0.5;1.46;0.2;31;
-0.5;1.46;0.2;31;
-0.5;1.47;0.2;31.1;
-0.5;1.47;0.2;31.1;
-0.5;1.46;0.2;31.1;
-0.5;1.46;0.2;31.1;
-0.5;1.46;0.2;31.1;
-0.5;1.46;0.2;31.1;
-0.40000001;1.47;0.2;31.1;
-0.40000001;1.47;0.2;31.1;
-0.40000001;1.46;0.2;31;
-0.40000001;1.46;0.2;31;
-0.5;1.46;0.2;31.1;
-0.5;1.46;0.2;31.1;
-0.5;1.46;0.2;31;
-0.5;1.46;0.2;31;
-0.5;1.46;0.1;31.1;
-0.5;1.46;0.1;31.1;
-0.5;1.46;0.2;31.1;
-0.5;1.46;0.2;31.1;
-0.5;1.45;0.2;31.1;
-0.5;1.45;0.2;31.1;
-0.5;1.46;0.2;31;
-0.5;1.46;0.2;31;
-0.5;1.45;0.2;31.1;
-0.5;1.45;0.1;31.1;
-0.5;1.45;0.1;31.1;
-0.5;1.45;0.1;31.1;
-0.5;1.45;0.1;31.1;
-0.5;1.45;0.1;31.1;
-0.5;1.46;0.1;31.1;
-0.5;1.46;0.1;31.1;
-0.5;1.4400001;0.1;31;
-0.5;1.45;0.1;31;
-0.5;1.45;0.1;31;
-0.5;1.45;0.1;31;
-0.5;1.4400001;0.1;31;
-0.5;1.4400001;0.1;31;
-0.40000001;1.45;0.1;31.1;
-0.40000001;1.45;0.1;31.1;
-0.40000001;1.45;0.2;31.1;
-0.40000001;1.45;0.2;31.1;
-0.5;1.4400001;0.1;31;
-0.5;1.4400001;0.1;31;
-0.5;1.4400001;0.2;31.1;
-0.5;1.4400001;0.2;31.1;
-0.5;1.45;0.2;31.1;
-0.5;1.45;0.2;31.1;
-0.40000001;1.46;0.2;31.1;
-0.40000001;1.46;0.2;31.1;
-0.40000001;1.45;0.2;31;
-0.5;1.45;0.2;31;
-0.5;1.45;0.2;31;
-0.5;1.45;0.2;31;
-0.5;1.45;0.1;31;
-0.5;1.45;0.1;31;
-0.5;1.46;0.2;31;
-0.5;1.46;0.2;31;
-0.5;1.46;0.1;31;
-0.5;1.46;0.1;31;
-0.5;1.4400001;0.2;31;
-0.5;1.4400001;0.2;31;
-0.5;1.45;0.1;31;
-0.5;1.45;0.1;31;
-0.5;1.45;0.2;31;
-0.5;1.45;0.2;31;
-0.5;1.45;0.1;31;
-0.5;1.45;0.1;31;
-0.5;1.4400001;0.2;31.1;
-0.5;1.4400001;0.2;31.1;
-0.5;1.4400001;0.2;31;
-0.5;1.4400001;0.2;31;
-0.5;1.45;0.1;31;
-0.5;1.45;0.1;31;
-0.5;1.4400001;0.1;31.1;
-0.5;1.4400001;0.1;31.1;
-0.5;1.4400001;0.1;31;
-0.5;1.4400001;0.1;31;
-0.5;1.4400001;0.1;31.1;
-0.5;1.4400001;0.1;31.1;
-0.5;1.45;0.1;31;
-0.5;1.45;0.1;31;
-0.5;1.46;0.1;31.1;
