values(1);values(2);values(3);values(4);
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.45;0.1;31;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.4400001;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.46;0.2;31.1;
-0.60000002;1.46;0.2;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.69999999;1.4299999;0.1;31.1;
-0.69999999;1.4299999;0.1;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.60000002;1.4299999;0.1;31.1;
-0.60000002;1.4299999;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.60000002;1.4299999;0.1;31.1;
-0.69999999;1.4400001;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.47;0.1;31;
-0.69999999;1.47;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.4299999;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.69999999;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.4400001;0.1;31;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.47;0.1;31.1;
-0.69999999;1.47;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0;31;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.4299999;0.1;31;
-0.69999999;1.4299999;0.1;31;
-0.69999999;1.4299999;0.1;31.1;
-0.69999999;1.4299999;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.4400001;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.47;0.1;31;
-0.60000002;1.47;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.4400001;0.1;31;
-0.5;1.4400001;0.1;31;
-0.5;1.4400001;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.46;0;31;
-0.60000002;1.46;0;31;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.4400001;0.2;31;
-0.69999999;1.4400001;0.2;31;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.4400001;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.69999999;1.45;0.2;31;
-0.69999999;1.45;0.2;31;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.60000002;1.45;0;31;
-0.60000002;1.45;0;31;
-0.60000002;1.45;0;31;
-0.60000002;1.45;0;31;
-0.60000002;1.4400001;0;31;
-0.60000002;1.4400001;0;31;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0;31;
-0.69999999;1.45;0;31;
-0.69999999;1.46;0;31;
-0.69999999;1.46;0;31;
-0.69999999;1.45;0;31;
-0.69999999;1.45;0;31;
-0.69999999;1.4400001;0;31;
-0.69999999;1.4400001;0;31;
-0.69999999;1.45;0;31;
-0.69999999;1.45;0;31;
-0.69999999;1.46;0;31;
-0.69999999;1.46;0;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0;31;
-0.69999999;1.45;0;31;
-0.69999999;1.46;0;31;
-0.69999999;1.46;0;31;
-0.69999999;1.46;0;31;
-0.69999999;1.46;0;31;
-0.69999999;1.46;0;31;
-0.69999999;1.46;0;31;
-0.60000002;1.45;0;31;
-0.60000002;1.45;0;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.60000002;1.45;0;31;
-0.60000002;1.45;0;31;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.46;0;31;
-0.60000002;1.46;0;31;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31;
-0.60000002;1.45;0;31;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.60000002;1.47;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.46;0;31.1;
-0.60000002;1.46;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0;31.1;
-0.69999999;1.46;0;31.1;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.46;0;31;
-0.69999999;1.46;0;31;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0;31.1;
-0.69999999;1.46;0;31.1;
-0.69999999;1.46;0;31.1;
-0.69999999;1.46;0;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.45;0;31;
-0.69999999;1.45;0;31;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.4400001;0.1;31;
-0.69999999;1.45;0.2;31.1;
-0.69999999;1.45;0.2;31.1;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.60000002;1.47;0.1;31.1;
-0.60000002;1.47;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.69999999;1.47;0.1;31.1;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31.1;
-0.60000002;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.60000002;1.47;0.1;31.1;
-0.60000002;1.46;0.1;31;
-0.69999999;1.47;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.47;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31;
-0.69999999;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.47;0.1;31.1;
-0.69999999;1.47;0.1;31;
-0.60000002;1.46;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0;31.1;
-0.69999999;1.47;0;31.1;
-0.69999999;1.46;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.4400001;0.1;31;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31;
-0.60000002;1.4400001;0;31;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.47;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.47;0.1;31.1;
-0.60000002;1.45;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.60000002;1.47;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.69999999;1.47;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.46;0.1;31;
-0.69999999;1.47;0.1;31;
-0.60000002;1.45;0.1;31;
-0.60000002;1.46;0.1;31;
-0.60000002;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.69999999;1.46;0.1;31;
-0.69999999;1.47;0.1;31.1;
-0.69999999;1.46;0.1;31.1;
-0.60000002;1.46;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.69999999;1.4400001;0.1;31.1;
-0.60000002;1.4400001;0.1;31.1;
-0.60000002;1.45;0.1;31;
-0.60000002;1.47;0.1;31;
-0.60000002;1.47;0.1;31;
-0.60000002;1.46;0;31;
-0.60000002;1.46;0.1;31.1;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0.1;31.1;
-0.69999999;1.45;0;31;
-0.60000002;1.46;0;31;
-0.69999999;1.46;0;31;
-0.69999999;1.46;0;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.46;0.1;31;
-0.69999999;1.45;0;31;
-0.60000002;1.46;0.1;31;
-0.69999999;1.45;0.1;31;
-0.69999999;1.45;0;31;
-0.69999999;1.45;0;31;
-0.69999999;1.47;0;31.1;
-0.69999999;1.45;0;31.1;
-0.69999999;1.46;0;31.1;
-0.69999999;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.46;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
-0.60000002;1.45;0;31.1;
